20,0.40,0.020,2005-01-21,
10,0.50,0.050,2015-01-22,
25,1.20,0.048,2015-01-23,
30,1.10,0.037,2015-01-24,
40,1.60,0.040,2015-01-25,
25,1.20,0.048,2015-01-26,
30,1.30,0.043,2015-01-27,
15,0.80,0.053,2015-01-28,
20,1.00,0.050,2015-01-29,
27,1.30,0.048,2005-01-30,
37,1.60,0.043,2015-02-01,
30,1.30,0.043,2015-02-02,
32,1.60,0.050,2015-02-03,
40,1.70,0.042,2015-02-04,
30,1.30,0.043,2015-02-05,
46,3.00,0.065,2015-02-06,
25,1.60,0.064,2015-02-07,
30,1.60,0.053,2015-02-08,
24,1.30,0.054,2015-02-09,
25,1.70,0.068,2015-02-10,
32,2.20,0.069,2015-02-11,
28,1.70,0.061,2015-02-12,
32,2.18,0.068,2015-02-13,
20,1.33,0.066,2015-02-14,
20,1.40,0.070,2015-02-15,
21,1.52,0.072,2015-02-17,
21,1.50,0.071,2015-02-18,
21,1.40,0.067,2015-02-19,
22,1.40,0.064,2015-02-20,
27,1.80,0.067,2015-02-21,
22,1.55,0.070,2015-02-22,
